Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
155,535327140,20,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1955,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,827,0,0,827,0.0,0.0,1,0,2,1,TA,5,Mod,1,Po,Detchd,1967.0,Unf,1.0,392.0,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2010,WD ,Normal,107500
536,531363050,20,RL,63.0,7500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1158.0,1158.0,GasA,Ex,Y,SBrkr,1158,0,0,1158,0.0,0.0,1,1,3,1,Gd,5,Typ,0,,,,,0.0,0.0,,,Y,0,50,0,0,0,0,,,,0,8,2009,WD ,Normal,143500
2478,531379030,60,RL,70.0,8304,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,941.0,941.0,GasA,Ex,Y,SBrkr,941,896,0,1837,0.0,0.0,2,1,3,1,TA,7,Typ,0,,Attchd,1997.0,RFn,2.0,688.0,TA,TA,Y,150,165,0,0,0,0,,GdPrv,,0,7,2006,WD ,Normal,187000
2535,534201260,20,RL,78.0,9360,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,7,1968,2004,Hip,CompShg,HdBoard,HdBoard,BrkFace,203.0,TA,TA,CBlock,TA,TA,Av,ALQ,760.0,Unf,0.0,216.0,976.0,GasA,TA,Y,SBrkr,976,0,0,976,1.0,0.0,1,0,2,1,Gd,4,Typ,1,Fa,Attchd,1968.0,RFn,2.0,504.0,TA,TA,Y,94,0,0,0,0,0,,,,0,8,2006,WD ,Abnorml,157500
378,527354100,80,RL,,14115,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,7,5,1980,1980,Gable,CompShg,Plywood,Plywood,BrkFace,225.0,TA,TA,CBlock,Gd,TA,Av,GLQ,1036.0,Unf,0.0,336.0,1372.0,GasA,TA,Y,SBrkr,1472,0,0,1472,1.0,0.0,2,0,3,1,TA,6,Typ,2,TA,Attchd,1980.0,Unf,2.0,588.0,TA,TA,Y,233,48,0,0,0,0,,,,0,6,2009,WD ,Normal,187500
2609,535402100,80,RL,83.0,10184,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,5,1963,1963,Gable,CompShg,HdBoard,HdBoard,BrkFace,379.0,TA,TA,CBlock,TA,TA,Av,ALQ,580.0,Unf,0.0,503.0,1083.0,GasA,TA,Y,SBrkr,1146,0,0,1146,0.0,1.0,1,0,3,1,TA,6,Typ,1,Gd,Attchd,1963.0,Unf,1.0,294.0,TA,TA,Y,345,75,0,0,0,0,,,,0,6,2006,WD ,Normal,165000
1613,526352090,20,RL,85.0,10628,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1970,1970,Flat,Tar&Grv,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,Gd,Gd,GLQ,778.0,Unf,0.0,499.0,1277.0,GasA,TA,Y,SBrkr,1277,0,0,1277,1.0,0.0,1,0,2,1,TA,5,Typ,1,Po,Attchd,1970.0,Unf,2.0,526.0,TA,TA,Y,0,0,0,0,176,0,,GdWo,,0,4,2007,WD ,Normal,167000
522,528458160,20,FV,85.0,9187,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,9,5,2009,2009,Gable,CompShg,CemntBd,CmentBd,Stone,162.0,Ex,TA,PConc,Ex,TA,Mn,GLQ,1121.0,Unf,0.0,645.0,1766.0,GasA,Ex,Y,SBrkr,1766,0,0,1766,1.0,0.0,2,1,2,1,Ex,7,Typ,1,Gd,Attchd,2009.0,Fin,3.0,478.0,TA,TA,Y,195,130,0,0,0,0,,,,0,10,2009,New,Partial,370878
1065,528166120,60,RL,110.0,13688,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,664.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1016.0,Unf,0.0,556.0,1572.0,GasA,Ex,Y,SBrkr,1572,1096,0,2668,1.0,0.0,2,1,3,1,Ex,10,Typ,2,Gd,BuiltIn,2003.0,Fin,3.0,726.0,TA,TA,Y,400,0,0,0,0,0,,,,0,3,2008,WD ,Normal,412500
1439,907187030,60,RL,57.0,8924,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,880.0,880.0,GasA,Ex,Y,SBrkr,880,844,0,1724,0.0,0.0,2,1,3,1,Gd,8,Typ,0,,Attchd,1998.0,Fin,2.0,527.0,TA,TA,Y,120,155,0,0,0,0,,,,0,7,2008,WD ,Normal,188000
904,909101100,50,RL,45.0,8212,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,626.0,Unf,0.0,94.0,720.0,GasA,Ex,Y,SBrkr,854,444,0,1298,0.0,0.0,1,0,3,1,TA,6,Typ,2,Gd,Detchd,1940.0,Unf,1.0,256.0,TA,TA,Y,84,0,0,0,0,0,,,,0,9,2009,WD ,Normal,122000
1166,533213070,160,FV,24.0,2280,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,360.0,TA,TA,PConc,Gd,TA,No,ALQ,549.0,Unf,0.0,195.0,744.0,GasA,Gd,Y,SBrkr,757,744,0,1501,0.0,0.0,2,1,3,1,TA,6,Typ,0,,Detchd,1999.0,Unf,2.0,440.0,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2008,WD ,Normal,179400
